de	-e/-dan, -den; ...nin
fin	son; amaç
pagar	ödemek
camino	yol
esposo	koca/eş
permitir	izin vermek
recibir	almak; teslim almak
pregunta	soru
leer	okumak
significar	anlamına gelmek
suceder	olmak; meydana gelmek
muerte	ölüm
millón	milyon
general	genel; general
dormir	uyumak
realidad	gerçeklik
caer	düşmek
rápido	hızlı
enviar	göndermek
acercar	yaklaştırmak
equipo	takım; ekipman
cuál	hangisi
ayuda	yardım
cuerpo	vücut
jefe	patron; şef
presidente	başkan
mover	hareket ettirmek
comprar	satın almak
supuesto	varsayım; tabii ki
bajo	altında; alçak
gobierno	hükûmet
comenzar	başlamak
buenas	iyi; selam (çoğul kalıp)
joven	genç
viejo	yaşlı; eski
tierra	toprak; dünya
número	sayı; numara
cuatro	dört
feliz	mutlu
final	son; final
regresar	geri dönmek
grupo	grup
guerra	savaş
cariño	sevgi; canım
además	ayrıca
posible	mümkün
echar	atmak; koymak; kovmak
clase	sınıf; ders; tür
cual	hangi/ki (vurgusuz)
arma	silah
cinco	beş
pronto	yakında; çabuk
convertir	dönüştürmek
difícil	zor
cara	yüz; pahalı (dişil)
sino	aksine; -den başka
genial	harika; dâhice
tocar	dokunmak; çalmak; sıra gelmek
largo	uzun
juego	oyun
escribir	yazmak
meter	koymak; sokmak
igual	aynı; eşit
incluso	hatta; dahil
doctor	doktor
corazón	kalp
detener	durdurmak; gözaltına almak
adiós	hoşça kal
siquiera	bile
ello	o; bu (nötr)
decidir	karar vermek
suerte	şans
ayer	dün
libro	kitap
correr	koşmak
según	-e göre
funcionar	çalışmak; işlemek
vivo	canlı
luz	ışık
justo	adil; tam
miedo	korku
modo	biçim; kip
relación	ilişki
cambio	değişim; bozuk para
público	kamusal; halk
derecho	hak; hukuk; sağ
presentar	sunmak; tanıştırmak
cerca	yakın
suficiente	yeterli
prueba	test; kanıt
próximo	sonraki; yakın
fuerte	güçlü
existir	var olmak
buenos	iyi (çoğul)
sentido	anlam; yön; duyu
orden	düzen; emir
perro	köpek
humano	insan; insani
vuelta	dönüş; tur
listo	hazır; akıllı
mostrar	göstermek
subir	çıkmak; yükseltmek
coche	araba
servir	hizmet etmek; işe yaramak
ox	öküz (İngilizce veri artığı)
sentar	oturtmak
salvar	kurtarmak
blanco	beyaz
fuerza	güç
sistema	sistem
explicar	açıklamak
bastante	yeterince; oldukça
levantar	kaldırmak; ayağa kalkmak
adelante	ileri
mil	bin
considerar	değerlendirmek
paso	adım; geçiş
asegurar	garanti etmek; emin olmak
aceptar	kabul etmek
quitar	çıkarmak; kaldırmak
plan	plan
calle	sokak
pueblo	kasaba; halk
cuidado	dikkat; bakım
negro	siyah
allá	orada; öte tarafta
partido	maç; parti; bölünmüş
diferente	farklı
ante	karşısında; önünde
fiesta	parti; kutlama
amar	sevmek
coger	almak; yakalamak
disparar	ateş etmek
disculpar	affetmek; özür dilemek
pie	ayak
beber	içmek
frente	ön; karşısında
escuela	okul
sangre	kan
oportunidad	fırsat
muchacho	genç; delikanlı
real	gerçek; kraliyet
situación	durum
política	siyaset; politika
ley	kanun
vender	satmak
teléfono	telefon
malo	kötü
extraño	garip; yabancı
perdonar	affetmek
arriba	yukarıda
aparecer	görünmek
servicio	hizmet
novio	sevgili; erkek arkadaş
tampoco	-de/-da değil; ben de değil
especial	özel
casar	evlendirmek
puesto	yer; görev; konmuş
dólar	dolar
cuándo	ne zaman
duro	sert; zor
nacional	ulusal
recuerdo	hatıra; hatırlama
lograr	başarmak
robar	çalmak
seguridad	güvenlik
prometer	söz vermek
enseñar	öğretmek; göstermek
obra	eser; inşaat
descubrir	keşfetmek
andar	yürümek; dolaşmak
fácil	kolay
película	film
cuanto	kadar; ne kadar (vurgusuz)
lista	liste; akıllı/hazır (dişil)
tras	ardından; arkasında
ambos	her ikisi
español	İspanyol; İspanyolca
sonar	sonar; ses çıkarmak
referir	bahsetmek; yönlendirmek
vino	şarap; geldi (venir)
centro	merkez
asunto	konu; mesele
encantar	bayılmak; çok hoşuna gitmek
embargo	ambargo; engel (sin embargo: ancak)
imaginar	hayal etmek
información	bilgi
habitación	oda
aprender	öğrenmek
falta	eksiklik; faul
cielo	gökyüzü
seis	altı
realizar	gerçekleştirmek
negocio	iş; ticaret
sueño	rüya; uyku
atrás	arkada; geriye
social	sosyal
capitán	kaptan; yüzbaşı
comida	yemek
bebé	bebek
libre	özgür; boş
voz	ses
foto	fotoğraf
abajo	aşağıda
par	çift
paz	barış
confiar	güvenmek
culpa	suç; hata
cerrar	kapatmak
ofrecer	sunmak
noticia	haber
bajar	inmek; indirmek
desear	dilemek; arzulamak
callar	susmak
música	müzik
diablo	şeytan
resto	geri kalan
siguiente	sonraki
cuidar	bakmak; ilgilenmek
médico	doktor; tıbbi
carta	mektup; kart; menü
preparar	hazırlamak
don	bay; bağış; yetenek
correcto	doğru
programa	program
sitio	yer; site
campo	alan; kır
elegir	seçmek
exactamente	tam olarak
unido	birleşik
desaparecer	kaybolmak
hermoso	güzel
mentir	yalan söylemek
romper	kırmak; bozmak
invitar	davet etmek
bonito	güzel; hoş
peor	daha kötü; en kötü
obtener	elde etmek
molestar	rahatsız etmek
lejos	uzakta
necesario	gerekli
cama	yatak
utilizar	kullanmak
varios	çeşitli; birkaç
abuelo	büyükbaba
parar	durmak
viaje	yolculuk
demonio	iblis; şeytan
perfecto	mükemmel
raro	garip; nadir
tirar	atmak; çekmek
despertar	uyandırmak; uyanmak
resultar	sonuçlanmak; ortaya çıkmak
oficial	resmî; memur
probablemente	muhtemelen
oficina	ofis
continuar	devam etmek
responder	cevap vermek
acción	eylem; aksiyon
línea	çizgi; hat
agente	ajan; görevli
personal	kişisel; personel
papel	kâğıt; rol
aire	hava
arreglar	düzeltmek; düzenlemek
puta	fahişe; argo küfür
principio	başlangıç; ilke
simplemente	basitçe
empresa	şirket
diez	on
director	yönetmen; müdür
través	aracılığıyla; içinden
producir	üretmek
ejemplo	örnek
amo	efendi; seviyorum (amar)
rey	kral
cuarto	dördüncü; oda
idiota	aptal
verdadero	gerçek; doğru
pesar	tartmak; üzmek
probar	denemek; tatmak
bastar	yetmek
decisión	karar
demás	diğerleri
control	kontrol
hospital	hastane
marido	koca
fuego	ateş
tema	konu
respuesta	cevap
nivel	seviye
evitar	kaçınmak
estudio	çalışma; stüdyo
secreto	sır
mensaje	mesaj
resultado	sonuç
error	hata
futuro	gelecek
lleno	dolu
maldito	lanetli; lanet olası
compañero	arkadaş; meslektaş
soler	genellikle yapmak
reconocer	tanımak; kabul etmek
pobre	fakir; zavallı
atención	dikkat; hizmet
zona	bölge
vista	görüş; manzara
escapar	kaçmak
cumplir	yerine getirmek; yaşını doldurmak
edad	yaş
comprender	anlamak
mandar	göndermek; emretmek
abogado	avukat
dirección	adres; yön; yönetim
partir	ayrılmak; bölmek
temer	korkmak
alegrar	sevindirmek
estúpido	aptal
fondo	dip; arka plan
llorar	ağlamak
señorito	genç bey
lindo	güzel; sevimli
compañía	şirket; arkadaşlık
tranquilar	sakinleştirmek
actuar	davranmak; rol yapmak
proceso	süreç
investigación	araştırma
tonto	aptal
café	kahve
duda	şüphe
preferir	tercih etmek
conducir	sürmek; yönetmek
estado	durum; devlet
mía	benimki (dişil)
ropa	kıyafet
valor	değer; cesaret
profesor	öğretmen; profesör
reunión	toplantı
boca	ağız
john	John (özel isim)
cámara	kamera; oda
conocido	tanınmış; tanıdık
espacio	alan; uzay
encima	üstünde; yukarıda
imagen	görüntü; imaj
abierto	açık
cargo	görev; yük
caballero	beyefendi; şövalye
cantar	şarkı söylemek
posibilidad	olasılık; imkân
detrás	arkasında
proteger	korumak
universidad	üniversite
sufrir	acı çekmek; maruz kalmak
golpear	vurmak
abandonar	terk etmek
consejo	tavsiye; kurul
asesino	katil
cuyo	-nin/-nın olan; whose
vuestro	sizin
caminar	yürümek
daño	zarar
sociedad	toplum; şirket
base	taban; üs
proyecto	proje
anoche	dün gece
mesa	masa
paciente	hasta; sabırlı
tercero	üçüncü
crear	yaratmak
dirigir	yönetmek; yöneltmek
capaz	yetenekli; -ebilme gücünde
movimiento	hareket
increíble	inanılmaz
divertido	eğlenceli
principal	ana; başlıca
maestro	öğretmen; usta
recoger	toplamak; almak
carrera	kariyer; yarış
caballo	at
siglo	yüzyıl
perdón	af; özür
pena	üzüntü; ceza
antiguo	eski; antik
ocupar	işgal etmek; meşgul etmek
asesinar	öldürmek; suikast yapmak
banco	banka; bank
político	siyasi; politikacı
mayoría	çoğunluk
miembro	üye; uzuv
condición	koşul; durum
efecto	etki
económico	ekonomik; ucuz
volar	uçmak
brazo	kol
ministro	bakan
libertad	özgürlük
asesinato	cinayet
reunir	toplamak; bir araya gelmek
crecer	büyümek
alcanzar	ulaşmak; yetişmek
devolver	geri vermek
interés	ilgi; faiz
joder	sikmek; kahretsin (argo)
animal	hayvan
destruir	yok etmek
sol	güneş
entregar	teslim etmek
color	renk
caja	kutu; kasa
cliente	müşteri
distinto	farklı
víctima	kurban
deseo	arzu
arte	sanat
rojo	kırmızı
acompañar	eşlik etmek
causa	neden; dava
cita	randevu; alıntı
trato	muamele; anlaşma
demostrar	göstermek; kanıtlamak
aforar	kapasite belirlemek; ölçmek
jamás	asla
recuperar	geri kazanmak; iyileşmek
merecer	hak etmek
hotel	otel
estrella	yıldız
sexo	cinsiyet; seks
normal	normal
bailar	dans etmek
incluir	dahil etmek
dolor	ağrı; acı
mitad	yarı
s	S harfi
gusto	zevk; memnuniyet
canción	şarkı
alrededor	çevresinde
militar	askerî; asker
baño	banyo; tuvalet
i	I harfi
querido	sevgili; sevilen
objetivo	hedef; nesnel
reír	gülmek
respecto	hakkında; saygı
salud	sağlık
the	İngilizce “the” (veri artığı)
completo	tam; eksiksiz
sal	tuz; çık! (salir)
mente	zihin
suelo	zemin; genellikle yaparım (soler)
cortar	kesmek
posición	pozisyon; konum
medida	ölçü; önlem
especie	tür
siete	yedi
diferencia	fark
formar	oluşturmak; eğitmek
precio	fiyat
jack	Jack (özel isim)
maravilloso	harika
pelo	saç; kıl
luchar	mücadele etmek
opinión	görüş
estudiar	çalışmak; ders çalışmak
resolver	çözmek
mercado	pazar; piyasa
elección	seçim; tercih
interior	iç; iç kısım
silencio	sessizlik
necesidad	ihtiyaç
odio	nefret
experiencia	deneyim
actividad	faaliyet
guardar	saklamak; korumak
droga	uyuşturucu; ilaç
controlar	kontrol etmek
accidente	kaza
club	kulüp
ejército	ordu
mar	deniz
ataque	saldırı
imposible	imkânsız
contacto	temas; bağlantı
privado	özel
alma	ruh
común	yaygın; ortak
soldado	asker
llave	anahtar
energía	enerji
barco	gemi; tekne
observar	gözlemlemek
juez	hâkim
atacar	saldırmak
preparado	hazır
río	nehir
tienda	mağaza; çadır
señalar	işaret etmek; belirtmek
negar	reddetmek; inkâr etmek
avión	uçak
dulce	tatlı
marchar	yürümek; ayrılmak
operación	operasyon; işlem
encuentro	buluşma; karşılaşma
fuente	kaynak; çeşme
informe	raport
izquierda	sol
pierna	bacak
sala	salon; oda
apenas	zar zor; henüz
nacer	doğmak
ocho	sekiz
averiguar	öğrenmek; araştırmak
esconder	saklamak
señal	işaret; sinyal
anterior	önceki
costar	mal olmak; zor gelmek
muestra	örnek; numune
nota	not
derecha	sağ; sağ taraf
escena	sahne
soltar	bırakmak; salıvermek
interesante	ilginç
vosotros	sizler (İspanya, samimi)
menor	daha küçük; reşit olmayan
metro	metro; metre
entrada	giriş; bilet
regalo	hediye
edificio	bina
enfermedad	hastalık
traje	takım elbise; kostüm
gritar	bağırmak
totalmente	tamamen
contestar	cevap vermek
peligroso	tehlikeli
salvo	hariç; güvende
jurar	yemin etmek
agradecer	teşekkür etmek; minnettar olmak
disculpa	özür
simple	basit
uh	ıı/eee (ünlem)
debido	borçlu; nedeniyle
unir	birleştirmek
disfrutar	keyfini çıkarmak
internacional	uluslararası
total	toplam; tam
equivocado	yanlış; yanılmış
casado	evli
cena	akşam yemeği
guardia	gardiyan; nöbetçi
desarrollo	gelişim
apostar	bahse girmek
presente	mevcut; şimdiki; hediye
odiar	nefret etmek
cuestión	mesele; soru
pelear	kavga etmek
acordar	kararlaştırmak; hatırlamak
dato	veri; bilgi
motivo	sebep
enfrentar	karşılaşmak; yüzleşmek
crimen	suç; cinayet
flor	çiçek
boda	düğün
representar	temsil etmek
unidad	birim; birlik
montón	yığın; çok miktar
éxito	başarı
haz	yap!; demet
peligro	tehlike
golpe	darbe; vuruş
corto	kısa
construir	inşa etmek
mencionar	bahsetmek
revisar	kontrol etmek; gözden geçirmek
atrapar	yakalamak
sam	Sam (özel isim)
producto	ürün
manejar	kullanmak; sürmek; yönetmek
carne	et
placer	zevk; memnuniyet
ventana	pencere
interesar	ilgilendirmek
despedir	kovmak; vedalaşmak
alejar	uzaklaştırmak
natural	doğal
oro	altın
cometer	işlemek (suç/hata)
huir	kaçmak
lamento	üzüntü; üzgünüm
informar	bilgilendirmek
acto	eylem; tören
cárcel	hapishane
hallar	bulmak
radio	radyo; yarıçap
enemigo	düşman
profesional	profesyonel
local	yerel; mekân
hambre	açlık
departamento	departman; daire
piso	zemin; kat; daire
finalmente	sonunda
espalda	sırt
vestido	elbise; giyinmiş
completamente	tamamen
terrible	korkunç
norte	kuzey
cerrado	kapalı
aspecto	görünüş; yön
familiar	ailevi; tanıdık
visita	ziyaret
aun	hatta; bile
adónde	nereye
contrario	zıt; aksine
enterar	haberdar etmek/olmak
broma	şaka
sorpresa	sürpriz
juicio	duruşma; yargı
defensa	savunma
depender	bağlı olmak
m	M harfi
regla	kural; cetvel
comunidad	topluluk
intento	girişim; deneme
cantidad	miktar
compartir	paylaşmak
entendido	anlaşıldı; anlayışlı
besar	öpmek
pertenecer	ait olmak
repetir	tekrarlamak
engañar	aldatmak
nave	gemi; uzay aracı
riesgo	risk
justicia	adalet
central	merkezî
cubrir	örtmek; kapsamak
salida	çıkış
americano	Amerikalı
tren	tren
serie	dizi; seri
sector	sektör; bölüm
permanecer	kalmak
viajar	seyahat etmek
apartar	ayırmak; uzaklaştırmak
preocupado	endişeli
asustar	korkutmak
desarrollar	geliştirmek
uso	kullanım
calmar	sakinleştirmek
cabo	uç; onbaşı
horrible	korkunç
corte	kesik; mahkeme
prestar	ödünç vermek
dedo	parmak
discutir	tartışmak
esperanza	umut
peso	ağırlık; peso
opción	seçenek
época	dönem
delante	önünde
alemán	Alman; Almanca
rato	bir süre
frío	soğuk
testigo	tanık
pegar	vurmak; yapıştırmak
admitir	kabul etmek
ocasión	fırsat; durum
área	alan
detective	dedektif
triste	üzgün
matrimonio	evlilik
superior	üst; daha yüksek
árbol	ağaç
destino	kader; varış noktası
objeto	nesne; amaç
sentado	oturmuş
defender	savunmak
sur	güney
cansado	yorgun
azul	mavi
oscuro	karanlık; koyu
superar	aşmak; üstesinden gelmek
apoyar	desteklemek
michael	Michael (özel isim)
cine	sinema
doler	ağrımak
oler	kokmak; koklamak
gracioso	komik; zarif
bromear	şaka yapmak
limpiar	temizlemek
marcha	yürüyüş; gidiş
misión	görev
cocina	mutfak; yemek pişirme
isla	ada
enfermo	hasta
encargar	görevlendirmek; sipariş etmek
responsable	sorumlu
declarar	beyan etmek; ilan etmek
sentimiento	duygu
colocar	yerleştirmek
visitar	ziyaret etmek
indicar	belirtmek
físico	fiziksel; fizikçi
prensa	basın; pres
actor	aktör; oyuncu
amable	nazik; sevimli
actual	güncel; mevcut
francés	Fransız; Fransızca
organización	organizasyon
causar	neden olmak
afirmar	iddia etmek; doğrulamak
celebrar	kutlamak
televisión	televizyon
prisa	acele
autoridad	yetki; otorite
nervioso	gergin
caliente	sıcak
lucha	mücadele
entero	bütün; tam sayı
culo	popo; kıç (argo)
modelo	model
mentira	yalan
divertir	eğlendirmek
comprobar	kontrol etmek; doğrulamak
cenar	akşam yemeği yemek
bolsa	çanta; borsa
honor	onur
científico	bilimsel; bilim insanı
falso	sahte; yanlış
luna	ay
joe	Joe (özel isim)
pareja	çift; partner
dispuesto	hazır; istekli
directo	doğrudan; canlı
cerebro	beyin
especialmente	özellikle
limpio	temiz
frank	Frank (özel isim)
pared	duvar
george	George (özel isim)
carajo	lanet; sik (argo)
europeo	Avrupalı; Avrupa'ya ait
iniciar	başlatmak
diario	günlük; gazete
inteligente	zeki
pista	ipucu; pist
descansar	dinlenmek
grave	ciddi; ağır
retirar	çekmek; geri almak
arruinar	mahvetmek
banda	grup; çete
héroe	kahraman
reina	kraliçe
bar	bar
charlie	Charlie (özel isim)
memoria	hafıza
artículo	makale; madde
c	C harfi
acá	burada
enorme	çok büyük
investigar	araştırmak
presencia	varlık; mevcudiyet
pretender	niyet etmek; iddia etmek
máquina	makine
agarrar	yakalamak; tutmak
permiso	izin
función	işlev; gösteri
apoyo	destek
popular	popüler; halka ait
tom	Tom (özel isim)
estilo	stil
civil	sivil
sobrevivir	hayatta kalmak
estación	istasyon; mevsim
establecer	kurmak; belirlemek
cumpleaños	doğum günü
planeta	gezegen
lanzar	fırlatmak; başlatmak
material	malzeme; maddi
espíritu	ruh
respeto	saygı
teniente	teğmen
tuya	seninki (dişil)
ordenar	düzenlemek; emretmek
bomba	bomba
absoluto	mutlak
líder	lider
naturaleza	doğa
provocar	sebep olmak; kışkırtmak
estudiante	öğrenci
figura	figür; şekil
sorprender	şaşırtmak
doble	çift; iki kat
locura	delilik
piel	deri; cilt
periódico	gazete; periyodik
detalle	detay
recurso	kaynak
ocultar	gizlemek
publicar	yayımlamak
red	ağ; file
excelente	mükemmel
prisión	hapishane
pelea	kavga
piedra	taş
cerveza	bira
añadir	eklemek
hogar	ev; yuva
copa	kadeh; kupa
ciencia	bilim
secretario	sekreter
mundial	dünya çapında; dünya kupası
proponer	önermek
presión	basınç; baskı
conversación	konuşma
cultura	kültür
basura	çöp
precioso	çok güzel; değerli
baile	dans
verde	yeşil
planta	bitki; kat; tesis
cruzar	geçmek; çaprazlamak
inglés	İngiliz; İngilizce
grado	derece; sınıf
marca	marka; işaret
máximo	maksimum; en yüksek
advertir	uyarmak
ciento	yüz (100)
maldición	lanet
junta	kurul; toplantı
comisión	komisyon
acostar	yatırmak
respirar	nefes almak
escrito	yazılı; yazı
tarjeta	kart
vigilar	gözetlemek
autor	yazar
mike	Mike (özel isim)
agradable	hoş
capital	başkent; sermaye
declaración	açıklama; beyan
confirmar	doğrulamak
esfuerzo	çaba
equivocar	yanılmak; yanlış yapmak
soportar	katlanmak; desteklemek
teatro	tiyatro
participar	katılmak
victoria	zafer
saltar	zıplamak
comunicación	ilişim
liberar	serbest bırakmak
io	IO (veri artığı)
propiedad	mülk; özellik
infierno	cehennem
arrestar	gözaltına almak
verano	yaz
sugerir	önermek
consecuencia	sonuç
zapato	ayakkabı
enamorado	âşık
conocimiento	bilgi; tanışıklık
bello	güzel
intención	niyet
guapo	yakışıklı; güzel
jugador	oyuncu
aguantar	dayanmak
producción	üretim
avisar	haber vermek; uyarmak
mirada	bakış
orgulloso	gururlu
coronel	albay
ocupado	meşgul
fecha	tarih
faltar	eksik olmak; gelmemek
obligar	zorlamak
registrar	kaydetmek; aramak
anunciar	duyurmak
responsabilidad	sorumluluk
población	nüfus
elemento	öğe; element
huevo	yumurta
inmediato	acil; hemen olan
famoso	ünlü
debajo	altında
página	sayfa
separar	ayırmak
enseguida	hemen
gato	kedi
fiscal	savcı; mali
personaje	karakter; kişi
período	dönem
voto	oy
expresar	ifade etmek
nueve	dokuz
fijar	sabitlemek; belirlemek
fumar	sigara içmek
mejorar	iyileştirmek
sexual	cinsel
herida	yara
adentro	içeri; içeride
premio	ödül
notar	fark etmek
felicidad	mutluluk
educación	eğitim
roto	kırık
propósito	amaç
contratar	işe almak; kiralamak
artista	sanatçı
técnico	teknik; teknisyen
costa	sahil; maliyet
tribunal	mahkeme
apuntar	not etmek; nişan almak
asumir	üstlenmek; varsaymak
capacidad	kapasite; yetenek
término	terim; son
julio	Temmuz
peter	Peter (özel isim)
pieza	parça; oda
teoría	teori
puro	saf; puro
exacto	tam; kesin
soñar	rüya görmek
paul	Paul (özel isim)
tarea	ödev; görev
sonido	ses
bosque	orman
encantado	memnun; büyülenmiş
atrever	cesaret etmek
regreso	geri dönüş
venta	satış
solución	çözüm
apagar	kapatmak; söndürmek
documento	belge
nación	ulus
cuadro	tablo; çerçeve
registro	kayıt
tardar	gecikmek; sürmek
nene	çocuk; bebek
vecino	komşu
temprano	erken
distancia	mesafe
firmar	imzalamak
convencer	ikna etmek
sostener	tutmak; sürdürmek
veras	göreceksin; gerçek (veraz'ın çoğulu olabilir)
solamente	yalnızca
pintar	boyamak; resim yapmak
batalla	savaş; muharebe
brillante	parlak; zeki
culpable	suçlu
vuelo	uçuş
inocente	masum
montaña	dağ
colegio	okul; kolej
confianza	güven
viento	rüzgâr
fantástico	fantastik; harika
tratamiento	tedavi; muamele
peseta	peseta (eski İspanyol parası)
dueño	sahip
pensamiento	düşünce
favorito	favori
calor	sıcaklık
armado	silahlı
contrato	sözleşme
seguido	ardışık; sık sık
atender	ilgilenmek; hizmet vermek
rechazar	reddetmek
carácter	karakter
exterior	dış; dışarıdaki
crisis	kriz
trasero	arka; popo
herido	yaralı
interno	iç; dahili
insistir	ısrar etmek
identificar	belirlemek; tanımlamak
sospechoso	şüpheli
importancia	önem
compra	satın alma
constituir	oluşturmak; teşkil etmek
cuello	boyun
práctica	uygulama; pratik
aprovechar	yararlanmak; fırsatı değerlendirmek
campaña	kampanya
sargento	çavuş
d	D harfi
max	Max (özel isim)
sonreír	gülümsemek
bala	mermi
acaso	belki; acaba
calma	sakinlik
fe	inanç
aquél	şu/o (uzaktaki)
título	başlık; unvan
impedir	engellemek
trabajador	çalışan; çalışkan
relajar	rahatlatmak
toque	dokunuş
té	çay
comandante	komutan
colega	meslektaş; arkadaş
sucio	kirli
curso	kurs; seyir
adecuado	uygun
james	James (özel isim)
ruido	gürültü
excepto	hariç
b	B harfi
gana	istek; kazanır (ganar)
pistola	tabanca
leche	süt
colgar	asmak; telefonu kapatmak
fútbol	futbol
afectar	etkilemek
vía	yol; aracılığıyla
código	kod
dedicar	adamak; vakit ayırmak
pan	ekmek
porqué	neden; sebep
diente	diş
